"name";"url";"category";"location";"description"
"Bivouac";"N/A";"real estate";"N/A";"N/A"
"BIXI";"http://montreal.bixi.com";"mobility";"2113, 32nd Avenue  , Lachine  H8T 3J1, Québec, canada";"BIXI is a public bike share service in North America, Europe, and Australia."
"Bixti.com";"http://bixti.com";"N/A";"N/A";"N/A"
"Biz2Credit Info Services: Small Business Loans for SMEs";"http://www.biz2credit.in/";"finance &amp; economics";"A-83, Sector 2, Noida, Uttar Pradesh India";"Biz2Credit.in gives a plethora of financing options to small business owners looking for small business loans. Our customers can choose from various kinds of loans like loan against property, home loans, business loans for women, unsecured business loans, and equipment financing.Our aim is to help budding entrepreneurs in securing attractive loans at low interest rates. Our loan managers are highly proficient and take care of the entire process from the start to the end. Furthermore, they ensure that every customer goes through a quick, private, convenient and reliable process."
"BizCostSavers";"http://www.bizcostsavers.com";"business &amp; innovation";"Bangalore, India";"BizCostSavers has been started with a vision of helping out Startups and SMBs to optimize their cost by discovering and deploying alternative cost saving solutions, engaging with cost saving experts and also to get valuable content on cost savings.Remember, there are always smarter cost saving alternatives for running your business. Just discover them herefree listing is now open to sellers and providers of alternative cost saving solutions in various categories - people , technology, infrastructure and energy saving.cost saving experts are also welcome to  empanel as consultants"
"Bizdom";"http://bizdom.com/";"business &amp; innovation";"N/A";"N/A"
"BizeeBee";"http://bizeebee.com";"business &amp; innovation";"Palo Alto, California";"BizeeBee creates online cashflow and customer development solutions for small business owners."
"Bizhemia";"http://www.bizhemia.com";"business &amp; innovation";"1 E Delaware  , Chicago 60611, Illinois, United States";"Bizhemia is a community of businesses with artistic or literary tastes whose business model is driven by creativity and sustainability  rather than the bottom line."
"BIZI Zaragoza";"http://www.bizizaragoza.com";"mobility";"Saragossa, Spain";"Bike-share service located in Saragossa, Spain."
"BizNik";"http://biznik.com";"N/A";"N/A";"N/A"
"bizpora";"https://www.bizpora.com/";"travel";"N/A";"N/A"
"BizSugar";"http://www.bizsugar.com";"N/A";"ATTN: BizSugar customer service3593 Medina Rd. #160Medina, OH 44256";"BizSugar is a social bookmarking and networking site for small business and medium-sized business owners and managers. It allows you to submit, share and vote for the best business information links on the Internet.BizSugar makes it easier to learn about new business strategies, tactics, and news. You can discover websites that provide answers to many of your business challenges, meet other business owners and managers that share your interests, and help others by sharing your knowledge.Most importantly, BizSugar will save you an incredible amount of time. The biz Sugar voting system incorporates the wisdom of the masses to funnel through the Internet fluff and provide you with the most useful ideas and news that affects your business. This allows entrepreneurs to spend more time enjoying their lives and less time reading.So remember, if you like a story on this site, be sure to vote for it. Or as we like to say, “give ‘em a little sugar!”"
"Bizwayz";"http://bizwayz.com/beta/network";"business &amp; innovation";"N/A";"N/A"
"BizXchange";"http://www.bizx.com";"finance &amp; economics";"N/A";"Business-to-business marketplace for barter exchange."
"Bizzy";"http://www.bizzy.com";"entertainment";"100 View St, Suite 106 , Mountain View 94041, California, United States";"Bizzy is a personalized local business recommendation engine that helps you find the best places to eat, shop, and play based on the spots you already know and love. You tell us your favorites, and we'll find you new ones. We created Bizzy under the belief that life is not a one-size-fits-all proposition. We have undertaken a mission to help you find the right recipe for your consumer happiness by creating a search mechanism that finds not just an answer, but the best answer for you."
"bk farmyards";"http://www.bkfarmyards.blogspot.com";"farming &amp; gardening";"600 Kingston Ave , Brooklyn 11203, New York, United States";"bk farmyards is a new Brooklyn-based farming network providing locally-grown healthy &amp; affordable food to Brooklyn residents and employment opportunities for youth and adults interested in food production."
"BlablaCar";"http://mobile.blablacar.com/?CVNOMOBILE=1";"mobility";"2 rue Lamarck  , Paris 75018, france";"Determine if you're Bla, BlaBla or BlaBlaBla -- how much you like to talk will help you find the perfect ride."
"Black Biz Hookup";"http://www.blackbizhookup.com";"N/A";"Atlanta, Georgia, United States";"Black Biz Hookup is a group buying site that gives you the opportunity to support quality services and purchase excellent products while giving Black Business the opportunity to get more exposure, increase their clientele base, and thrive in today's competitive market."
"Black Box Voting - America's Elections Watchdog Group";"http://www.blackboxvoting.org/";"government";"330 SW 43rd St. Suite KPMB 547Renton WA 98057";"Black Box Voting (.ORG) is a nonpartisan, nonprofit, 501c(3) organization funded by citizen donations."
"Black Canon Collective";"http://www.blackcanoncollective.co.uk/";"mobility";"N/A";"N/A"
"Black Girls Code";"http://www.blackgirlscode.com/";"careers, jobs &amp; vocation";"San Francisco, CA";"To increase the number of women of color in the digital space by empowering girls of color ages 7 to 17 to become innovators in STEM fields, leaders in their communities, and builders of their own futures through exposure to computer science and technology"
"Black Rock Arts Foundation (BRAF)";"http://www.blackrockarts.org";"creativity, media &amp; the arts";"3450 Third Street, Suite 2A , San Francisco 94124, California, United States";"The mission of the BRAF is to support and promote community, interactive art and civic participation."
"BlackJet";"https://www.blackjet.com/accounts/login/";"mobility";"N/A";"N/A"
"Blacks";"http://blacks.londonclub.tel/";"entertainment";"67 Dean Street, Soho, UK";"Blacks is located within a beautifully restored and sympathetically decorated Georgian building housing a private members club across three floors."
"Blastbeat";"http://blastbeat.org/";"business &amp; innovation";"36 Reed House , Durnsford Road, SW19 8GU London, United Kingdom";"Blastbeat is dedicated to empowering the youth of today to be independent and successful. "
"Blazing Cloud";"http://blazingcloud.net/";"technology &amp; data";"N/A";"N/A"
"Bliive";"http://bliive.com/";"careers, jobs &amp; vocation";"N/A";"N/A"
"Bling Nation";"http://www.blingnation.com";"finance &amp; economics";"N/A";"Connects local financial institutions and businesses. Allows customers to use their mobile phones to tap and pay for purchases."
"Blink Collective";"http://blinkcollective.com/";"food &amp; drink";"London";"Blink is a community marketplace to buy and sell local UK experiences.We help passionate people, like you, to find and sell; fun, authentic, local experiences.The joy of life comes from our encounters with new experiences, so why not join us?"
"Blinkx";"http://www.blinkx.com/";"technology &amp; data";"One Market Plaza Spear Tower, Suite 1810  , San Francisco 94105, CA, United States";"Blinkx has built a reputation as the Remote Control for the Video Web. Now, with an index of over 35 million hours of searchable video and more than 720 media partnerships, including national broadcasters, commercial media giants, and private video libraries, it has cemented its position as the premier destination for online TV."
"BLISS";"http://www.bagsforbliss.org/";"education";"N/A";"BLISS empowers adolescent girls who must pick work over school to meet household financial needs. There are millions such female laborers across the world, employed in the carpet weaving, coffee, sports, leather and garment industries."
"BLKSHP";"http://www.theblkshp.com/";"business &amp; innovation";"N/A";"N/A"
"BlockAvenue";"http://www.blockavenue.com/";"real estate";"N/A";"N/A"
"Bloodline Club";"http://www.bloodlineclub.com/";"health &amp; fitness";"N/A";"N/A"
"BLOOM conference";"http://bloom.u-start.biz/";"business &amp; innovation";"N/A";"N/A"
"Bloom VC";"http://bloomvc.com/";"finance &amp; economics";"N/A";"N/A"
"Bloomreach";"http://www.bloomreach.com/";"technology &amp; data";"N/A";"N/A"
"Bloomsbury College";"http://www.bloomsburycollege.com";"education";"London, United Kingdom";"Bloomsbury College offers crowdsourced learning for the entrepreneurial student."
"Bloop";"http://bloop.co";"technology &amp; data";"Edinburgh, United Kingdom";"Bloop is the simplest way to maintain your social life. Through the free service, you can:Reach your friends through Facebook, Twitter and email.Create an event in one sentence, and share it anywhere.See who's coming. Add details. Get recommendations from friends.Stay up to date with your new social calendar.And spend more time with all of your friends."
"Blu-Bin, Inc";"http://blu-bin.com";"technology &amp; data";"20 Church Street, Burlington, VT";"A website and brick-and-mortar store providing 3D printing, 3D scans, and CAD to the 90% of Americans who are are interested in 3D printing and can benefit from it, but do not or cant afford one. We recycle plastic from the community into the items we sell, meaning that items are designed, made, and sourced from the local community."
"Blue Button Challenge: Heath 2.0";"http://www.health2con.com/devchallenge/blue-button-co-design-challenge/";"health &amp; fitness";"N/A";"N/A"
"Blue Gecko, Inc.";"http://www.bluegecko.net/";"technology &amp; data";"N/A";"N/A"
"Blue Grass Energy";"http://www.bgenergy.com";"energy";"N/A";"Delivers energy services to co-op member-owners in north and central Kentucky."
"Blue Marble Biomaterials";"http://bluemarblebio.com/";"energy";"N/A";"N/A"
"Blue Planet Network";"https://www.blueplanetnetwork.org";"business &amp; innovation";"N/A";"Aims to bring safe and sustainable drinking water to people in rural communities around the world."
"Blue Ribbon Files";"http://www.blue-ribbon-flies.com/";"N/A";"305 CANYON STREET, WEST YELLOWSTONE, MONTANA 59758";"For over 30 years Blue Ribbon Flies has been helping outfit anglers visiting the Yellowstone area with the latest in fly fishing equipment, information on hatches, fly patterns and the world's largest selection of fly tying materials"
"Blue Ridge Foundation New York";"http://www.brfny.org/";"finance &amp; economics";"N/A";"N/A"
"Blue Valley's Center for Advanced Professional Studies (CAPS)";"http://www.bvcaps.org/s/1403/start.aspx";"business &amp; innovation";"N/A";"N/A"
"Blue Voice Enterprises";"http://bluevoiceenterprises.com/";"business &amp; innovation";"N/A";"N/A"
"blued";"http://www.blued.cn/";"entertainment";"N/A";"N/A"
"Bluefields";"http://bluefields.com/";"business &amp; innovation";"N/A";"N/A"
"BlueFrog Marketing";"http://www.bluefrogmarketing.com.au";"marketing services";"193a Bay Street , Brighton 3186, Victoria, Australia";"BlueFrog Marketing focuses on business marketing results.An effective marketing strategy is integral to a successful business. The BlueFrog team is comprised of a number of highly skilled marketers with a broad range of experience in many different markets. From healthcare to FMCG, financial to industrial and most markets in between, BlueFrog is able to tackle challenging marketing issues and deliver successful growth strategies."
"BlueHaze";"http://bluehaze.com";"technology &amp; data";"San Francisco, California, United States";"BlueHaze is a technology company building the latest online and mobile tools for the music industry.BlueHaze builds mobile apps for Artists, Labels, Festivals, Venues, Promoters and Brands. Your custom app is an essential marketing, fan engagement and revenue-generating asset.Build an instant online community. Grab our customized Social Networking and Content Sharing apps for your website. All apps are fully integrated with Facebook &amp; Twitter and are fully customized to the look and feel of your website."
"Bluehost";"http://www.bluehost.com/";"technology &amp; data";"N/A";"N/A"
"BlueID - your digital key ring";"http://www.BlueID.eu";"business &amp; innovation";"Marcel-Breuer-Strasse 15, D-80807 Munich, Germany";"Award-winning BlueID turns your smartphone into a key ring. It is the ideal technology for easy sharing of physical &amp; virtual resources or infrastructure. BlueID enhances your existing app by providing the necessary technology to grant secure access to resources and infrastructure. With BlueID integration and the use of a BlueID control unit, your app will be able to open doors, start vehicles and much more. Get in touch with us today to explore the possibilities for taking your sharing app to the next level!"
"BlueKite";"http://bluekite.com/";"technology &amp; data";"N/A";"N/A"
"BlueLinx";"http://www.bluelinxco.com";"business &amp; innovation";"4300 Wildwood Parkway , Atlanta  30339, GA, United States";"National distributor of Building Materials"
"BlueMove Carsharing";"http://bluemove.es/es/community";"mobility";"N/A";"N/A"
"BlueOrchard";"http://www.blueorchard.com";"finance &amp; economics";"32 rue de Malatrex , Geneva CH - 1201, Switzerland";"A leading commercial microfinance investment manager that aims to empower the poor worldwide and improve their quality of life by enabling them to participate in income-generating activities."
"Blueseed";"http://www.blueseed.co/";"business &amp; innovation";"Sunnyvale, CA 94086";"A high-tech visa-free entrepreneurship and technology incubator on an ocean vessel in international waters, which will allow entrepreneurs from around the world to work together without dealing with the hassles of immigration laws."
"bluesign";"http://www.bluesign.com";"upcycling &amp; recycling";"Lerchenfeldstrasse 5 , St. Gallen CH-9014, Switzerland";"bluesign's focus is on consumer/worker safety and sustainable production based on minimised emissions and reduced resource usage."
"BlueTech Research";"http://www.bluetechtracker.com/";"technology &amp; data";"N/A";"BlueTech Research is a subsidiary company of O2 Environmental, the leading authority on innovative water technologies in the water market. The O2 Environmental Technology Assessment Group (TAG) is a global team of water technology market experts."
"BlueVia";"https://bluevia.com/maintenance/";"business &amp; innovation";"Madrid, Spain";"A new developer platform from Telefonica that allows you to quickly and simply monetize your apps by plugging in our powerful, risk free, API’s offering you revenue share business models."
"BlueWalks";"http://blog.bluewalks.com/";"health &amp; fitness";"N/A";"BlueWalks is a collaborative platform for sharing walks."
"Blurb";"http://www.blurb.com";"books &amp; writing";"San Francisco, California, United States";"Blurb is a company and a community that believes passionately in the joy of books and reading them, making them, sharing them, and selling them. So we put our minds together, and developed a creative publishing service simple and smart enough to make anyone an author: every blogger, cook, photographer, parent, traveler, poet, pet owner, marketer, everyone. (This means you.)"
"Blurb Pop-Up/London";"http://www.blurb.com/events/londonpopup";"N/A";"27-28 Eastcastle Street , London W1W 8DH, United Kingdom";"Blurb is a company and a community that believes passionately in the joy of books â€“ reading them, making them, sharing them, and selling them. Weâ€™ll be launching our first-ever U.K. pop-up store on Wednesday, 3 November. It will be buzzing through Sunday, 14 November with free workshops, guest speakers, and special events."
"Board of Change";"http://www.boardofchange.com/";"business &amp; innovation";"N/A";"N/A"
"Boardztrader";"http://www.boardztrader.com";"N/A";"N/A";"Boardztrader is an online board shop where you can buy or sell new and used surf, skate, and snowboards."
"Boat plans";"http://www.noahsmarine.com";"travel";"N/A";"canoe kits, kayak kits, marine plywood, okoume, BS1088, cedar strips, west system epoxy, mas epoxy, boatbuilding materials, corecell, composites, fibreglass, fiberglass, stitch and glue."
"Boatbound";"https://boatbound.co/";"mobility";"N/A";"Boatbound is the first fully insured""pier-to-pier"" boat rental marketplace."
"Boaterfly";"http://www.boaterfly.com";"travel";"18 rue de Seine, 75006 PARIS";"Sailboats, powerboats, zodiac, windsurfs, light sailboats, kayaks, jetskis, river boats... Boaterfly opens the door to temporary ocean and sea travelling off the beaten track. Owners turn their watercrafts profitable, while tenants enjoy fair prices and warm welcoming."
"Boats: from plans to float";"http://www.noahsmarine.com";"mobility";"N/A";"N/A"
"BoatSwap";"http://www.boatswap.info";"mobility";"N/A";"Network of boat owners willing to swap boats."
"Bob Marshall Widerness Foundation";"http://www.bmwf.org/";"travel";"N/A";"The Bob Marshall Wilderness Foundation connects Americans with their wilderness heritage by providing access to and stewardship of one of the world’s most spectacular places –Montana’s Bob Marshall Wilderness Complex, the crown jewel of the Wilderness System. We help hundreds of hard-working volunteers, including youth, develop a land ethic and give back to the wilderness by opening trails, restoring heavily used areas, maintaining historic structures and fighting weeds. Active wilderness stewardship is our mission."
"Bodegas Del Rosario";"http://www.bodegasdelrosario.es";"food &amp; drink";"N/A";"Wine cooperative in Murcia, Spain."
"Bodegas del Rosario (Spanish Wine Coop)";"http://www.bodegasdelrosario.es/";"food &amp; drink";"N/A";"N/A"
"Body Mechanix Fitness Cooperative";"http://www.bodymechanixs.com";"health &amp; fitness";"N/A";"Fitness co-op in Californiaâ€™s San Francisco Bay Area."
"BodyMedia";"http://www.bodymedia.com";"N/A";"420 Fort Duquesne Boulevard, Suite 1900";"N/A"
"boildwn";"http://boildwn.com";"education";"Zürich, Switzerland";"N/A"
"Bolefloor";"http://www.bolefloor.com";"home improvement";"Prinsengracht 13  , Amsterdam 1015DK, Netherlands";"Bolefloor is the worldâ€™s first industrial-scale manufactured hardwood flooring with naturally curved lengths that follow a treeâ€™s natural growth, and thereby reduce waste in production. Bolefloor takes its name from bole, the trunk of a tree.Bolefloor has created the category of curved-length flooring for the market at large. Until now, unique floors like these have been the product of a few dedicated craftsmen."
"bolstr";"https://bolstr.com/";"finance &amp; economics";"N/A";"N/A"
"Bompas and Parr";"http://www.jellymongers.co.uk";"food &amp; drink";"14 Ayres Street , London SE1 1ES, United Kingdom";"Bompas &amp; Parr designs spectacular food experiences often working on an architectural scale with cutting edge technology.  Projects explore how the taste of food is altered through synaesthesia, performance and setting. Bompas &amp; Parr also designs and manufacturers bespoke jelly moulds and kitchenalia; makes fine English jellies; provides full catering services; and provides food and design consultancy."
"Bon Vivant";"http://www.bonvivant.co.uk";"travel";"N/A";"Bon Vivant is a concierge service and luxury travel specialist based in London that can help you with every travel, lifestyle and leisure need that you don’t have the time, expertise or inclination to fulfil yourself. Offering a highly personalised service, you will receive your own personal concierge to contact directly for all requests, who will pre-empt your every need. Whether it’s preferred rates, upgrades and VIP amenities at over 1000 luxury hotels, reservations at the hard-to-get restaurants or exclusive hospitality at a premier sporting or music event, Bon Vivant's unrivalled expertise, contacts and insider knowledge will make it happen."
"Bonanzle";"http://www.bonanzle.com";"fashion &amp; clothing";"400 E Pine Street #215 , Seattle 98122, Washington, United States";"Online marketplace where people negotiate purchases in real time and browse through hand-picked items."
"bonapp";"http://beta.bonapp.com/users/sign_in";"food &amp; drink";"53-54 Grosvenor Street  , London W1K 3HU, United Kingdom";"bonapp is changing the way you get food recommendations.  When you check in on foursquare, bonapp texts you the most popular dish and shows you how other diners thought the menu stacked up. That way, your last course will never be regret."
"Bonappetour";"http://www.bonappetour.com/";"food &amp; drink";"N/A";"N/A"
"BonAppetour";"http://www.bonappetour.com";"food &amp; drink";"N/A";"BonAppetour is a web-based social platform that provides travelers an authentic dining experience; be it just eating or even cooking with locals in the comfort of their homes.An alternative to eating at restaurants, travelers get to link up with chefs/home cooks that are as enthusiastic and friendly in meeting new people.Cooks get to show off their great skills in the kitchen whilst sharing a culture that is near and dear to them."
"Bondsy";"https://www.bondsy.com/";"mobility";"231 Front Street #207 Brooklyn NY 11201";"Price items as you want – $20, a hug, lunch, shoes, or just a favor. Only people connected to you can see your things, and you can create a beautiful webpage to share beyond Bondsy.People can use Bondsy to:? give a friend a book they’ve already read? trade a bag that’s no longer needed? sell tickets to a concert they can no longer attend? donate a child’s old clothes and toys? buy a baseball card to complete a set? swap a game they’ve finished with a game they want to play? lend power tools they rarely use? Grab the app, and get creative!"
"Bonneville Environmental Foundation";"http://www.b-e-f.org/";"N/A";"Bonneville Environmental Foundation 240 SW 1st Avenue Portland, OR 97204 USA";"Bonneville Environmental Foundation (BEF) is one of the most trusted nonprofit providers of market-based solutions designed to help businesses and organizations balance their energy, carbon and water footprints."
"Bonsoni.com";"http://www.bonsoni.com/";"N/A";"London, united_kingdom";"Bonsoni.com is an online marketplace for buying and selling items, properties, finding a flat share, jobs, local services, free to collect items and many other categories.Their aim is to provide a simple, safe, friendly but nimble platform for people to connect with each other and trade goods and services."
"Boober";"https://www.boober.it";"finance &amp; economics";"via Pignolo, 8 , Bergamo  24121, United States";"Boober is a peer-to-peer lending service based in Italy."
"Book Crossing";"http://www.bookcrossing.com";"books &amp; writing";"810 Lake Street , Sandpoint 83864, Idaho, United States";"Book Crossing allows members to connect with other readers, journal and review literature and trade and follow their books as lives are changed through ""reading and releasing"". Users are able to tag and track their individual books by marking them with BCIDs (BookCrossing Identity Numbers)."
"Book of Cooks";"http://www.bookofcooks.com";"food &amp; drink";"Washington, DC, United States";"BookOfCooks is a new online marketplace for buying and selling delicious prepared foods.BookOfCooks it's simple, user-friendly and socially conscious! It's a fun and delicious way to get to know your neighbors! Everyone can browse our online Google maps and archives for reviews, prices, ratings, recipes, and videos posted by local cooks and food aficionados. There is no pressure to connect, share contact details or to book on-line."
"book'd";"https://www.bookd.com";"business &amp; innovation";"505 Fay Street, Suite 210  , Columbia 65203, Missouri, United States";"book'd helps businesses and organizations promote and book their services."
"bookalokal";"http://bookalokal.com/";"food &amp; drink";"N/A";"N/A"
"BookAse.com";"http://www.bookase.com";"books &amp; writing";"N/A";"Compare prices for over a million college textbooks for sale."
"BookHopper";"http://www.bookhopper.co.uk";"books &amp; writing";"United Kingdom";"BookHopper is a free book sharing service matching up readers all across the UK. Instead of buying books, reading them once and leaving in the bookshelf, they can be shared with other BookHoppers. The sender pays the postage. This means that for the price of one book, you can read dozens more, just paying postage each time."
"Booking Authors";"http://www.bookingauthors.com";"books &amp; writing";"181 Brewster Street , Bridgeport 06605, CT, United States";"Booking Authors is an independent, niche marketing and PR business for book authors and experts seeking influential, community-building speaking engagements."
"Bookins";"http://www.bookins.com";"books &amp; writing";"244 Madison Avenue , New York 10016, New York, United States";"Bookins is a website where you can easily trade books and more with other readers.Bookins arranges for tradesâ€”from you to one member and from a third member back to you, and so on. You never have to contact anyone, waste time, or deal with unpleasantness. You donâ€™t even have to visit the post office. The correct postage for your shipment is provided from the website."
"BookMooch";"http://www.bookmooch.com";"books &amp; writing";"Berkeley, California, United States";"BookMooch is a community for exchanging used books. BookMooch lets you give away books you no longer need in exchange for books you really want."
"BookRenter";"http://www.bookrenter.com/";"books &amp; writing";"united_states";"Textbook rentals."
"BookSerf";"http://bookserf.com/";"books &amp; writing";"N/A";"Based in Turkey, BookSerf is a book lending service between people. Individuals upload photos + reviews of their personal libraries to share."
"Bookshare";"http://www.bookshare.org";"books &amp; writing";"480 South California Ave. , Palo Alto 94306, California, United States";"Bookshareâ€™s goal is to make the world of print accessible to people with disabilities by building a digital library, spreading the word, and expanding technologies available to people with disabilities."
"Boomer Places";"http://www.boomerplaces.com/live/";"travel";"N/A";"N/A"
"BoomSonar";"http://www.boomsonar.com";"technology &amp; data";"asmali mescit mah. sofyali sok. bilgir han 5/4, 5/5 beyoglu , istanbul 34310, none, turkey";"Real Time Internet and Social Media Monitoring tool with segmentable site categorization, real time reports."
"booomerang";"http://www.booomerang.dk/";"finance &amp; economics";"N/A";"N/A"
"booomerang.dk";"http://www.booomerang.dk/";"finance &amp; economics";"N/A";"N/A"
"boostable";"http://www.boostable.com/";"marketing services";"N/A";"N/A"
"BoostCTR";"http://www.boostctr.com";"careers, jobs &amp; vocation";"250 King St #552 , San Francisco 94107, California, United States";"BoostCTR is a network of expert PPC copywriters, which allows advertisers to outsource the creation and testing of PPC text ads. BoostCTR offers a money-back guarantee so that advertisers only pay for ads that beat the performance of their best existing ads.How it Works:- Advertisers purchase credits and select which ad groups they want to optimize.- Next, advertisers review a multitude of writer ad submissions and approve ads that they want to test, and reject the others.- BoostCTR automatically tests submitted ads using objective success metric.Value Proposition:- Risk-Free: There are no setup fees, and BoostCTR offers a money back guarantee.- Increase Profit: Click through rate is the most important factor in quality score.- Save Time: BoostCTRâ€™s automated system runs contests 24/7, and its software optimizes testing workflow."
"BoostFunder";"http://boostfunder.com/";"business &amp; innovation";"N/A";"N/A"
"Boothbay Region Art Foundation";"http://www.boothbayartists.org";"creativity, media &amp; the arts";"P.O. Box 124 , Boothbay Harbor 04538, Maine, United States";"Boothbay Region Art Foundation aims to create opportunities for people of all ages to enjoy, learn from, and participate in the visual arts."
"BootHK";"http://boot.hk/";"business &amp; innovation";"19/f Hang Wai Commercial Building  231-233 Queen's Road East   , Wan Chai, Hong Kong";"BootHK is a community for co-working, makers, and startups in Hong Kong."
"BootsnAll Travel";"http://www.bootsnall.com";"travel";"N/A";"Community that encourages independent travel."
"BoozeMonkey";"http://BoozeMonkey.com";"food &amp; drink";"Australia";"A wine-lover's paradise, making your tongue feel sexy!  Whether you're an Aussie Shiraz nut or a New Zealand Pinot-file, a Chardonnay Lover or a Riesling Freak, BoozeMonkey is THE social network for you. NZ &amp; Australian wines are some of the best on the planet, so we've put together detailed profiles of each and every Australian winery &amp; New Zealand vineyard. We've also got wine reviews, tasting notes, competitions, special offers and events. And it's all FREE!"
"Bordbar";"http://www.bordbar.de/en";"upcycling &amp; recycling";"VitalisstraÃŸe 379 , KÃ¶ln D-50933, Germany";"Bordbar.de upcycles airport trolleys and transforms them into closets, phone booths, and bars."
"Borentra";"http://www.borentra.com";"accessories &amp; gifts";"N/A";"As a grassroots organization our goal is to help people share the things they have. By doing this we are leaders in the sharing economy a completely disruptive set of ideals.We are challenging consumerism head on. Why does everyone you know own a vacuum, and why do we only use it once a week (or less)? If we all pooled our resources, everyone would find huge savings.People are changing their values from assets to access. The internet enables us to be smarter consumers. Cars and housing as a service? We are already seeing this throughout western countries, and soon all around the world."
"Boris Bikes";"http://www.borisbikes.co.uk/";"mobility";"London, united_kingdom";"An independent community forum for London's Cycle Hire scheme."
"Borneo Reef Garden Travel Sdn Bhd (1033401-H)";"http://www.brgtravel.com.my";"travel";"Kota Kinabalu, Sabah, Malaysia";"We are sharing our Sabah hotspot and experiences with you. Come, let's lead you the way to amazing Sabah! Let's Go!"
"bornrecycling";"http://www.bornrecycling.co.uk";"upcycling &amp; recycling";"26 Coney Green Business Centre, Wingfield View, Clay Cross , Derbyshire S45 9JW, United Kingdom";"bornrecycling is a free online listing for gently used baby goods."
"Boston Food Swap";"http://www.bostonfoodswap.com/";"food &amp; drink";"Boston, MA, united_states";"Food swap located on Boston, MA."
"Bottle &amp; Can Redemption Center";"http://connecticutredemption.com/";"upcycling &amp; recycling";"65 Mascolo Rd., South Windsor, CT";"Cans, plastic &amp; glass bottles recycling center that pays on the spot 5 cent in the US state of Connecticut"
"Bottlenose";"http://bottlenose.com/";"technology &amp; data";"N/A";"N/A"
"Bottomline Concepts, LLC";"http://www.bottomlineconcepts.com";"business &amp; innovation";"P.O. Box 2273 , Madison 35758, Alabama, United States";"Bottomline Concepts, LLC provides information products to businesses and professional individuals."
"Boulder Food Rescue";"http://www.boulderfoodrescue.org/";"farming &amp; gardening";"N/A";"Boulder Food Rescue is a non-profit organization whose goal is to create a more just and less wasteful food system. We facilitate the sustainable redistribution of food “waste” to agencies that feed hungry, homeless, and low-income populations while educating communities about food justice."
"Bourse des dechets";"http://Bourse-des-dechets.fr";"upcycling &amp; recycling";"Catherine DELPECH - CCI de Paris";"Because the waste from them are often the raw material of others, of purse-dechets.fr offers businesses a service advertisements for bids and requests for material to facilitate trade between companies."
"Box | Simple Online Collaboration";"http://www.box.net/";"N/A";"Box, Inc.220 Portage Ave.Palo Alto, CA 94306 USA";"Box helps people access and share their content from anywhere."
"Boxbee";"https://www.boxbee.com/";"travel";"N/A";"N/A"
"Boxee";"http://www.boxee.tv";"entertainment";"Tel Aviv, Israel";"Boxee is the best way to watch movies, TV shows and clips from the Internet on your TV. Users install Boxee's free software on a computer and connect it to your TV with an HDMI or DVI cord."
"BoxKids.com.br";"http://www.boxkids.com.br";"kids' stuff";"RUA MOACIR GUIMARAES, 100 , SAO PAULO 04256390, SP, brazil";"Boxkids.com.br is a company for families to swap kids colthes in Brazil. The site is currently being prepared and getting lots of signups for launch.Site feito para familias brasileiras trocarem roupas, brinquedos e livros de crianças, estimulando o consumo colaboratibo."
"Boxman Studios";"http://www.boxmanstudios.com";"real estate";"N/A";"Fully-loaded mobile venues for entertaining,dining and dwelling."
"Boxnutt";"http://boxnutt.com";"creativity, media &amp; the arts";"N/A";"Boxnutt is a place to share things on the web that interest you. Use Boxnutt to discover what's new and popular on the web."
"Boxpark";"http://www.boxpark.co.uk";"real estate";"London, United Kingdom";"Boxpark is a fresh retail revolution from Roger Wade, creator of Boxfresh and Fashion Brand Consultancy Brands Incorporated, in partnership with real estate developers Hammerson and Ballymore.Boxpark strips and refits shipping containers to create unique, low cost, low risk, 'box shops'. Put them together with a unique mix of international fashion, arts and lifestyle brands, galleries and cafes and you've got the world's first 'pop-up' mall--so named because its basic building blocks are inherently movable: they can, and will, literally pop up anywhere in the world!Boxpark is radical stuff. It's not some run-of-the-mall shopping centre. It's a living, fertile community of brands packed with talent, innovation and attitude that puts creativity and fashion back where they belong: on the street.Boxpark isn't just where you shop. It's an inspiring and enjoyable place to drop in and hang out. It's what a real brand experience should be all about."
"Boxsal";"http://www.boxsal.com";"food &amp; drink";"3906 Lemmon Ave. Suite 222 , Dallas 75219, Texas, United States";"Boxsal makes eco-friendly picnic boxes made of post-consumer pulp."
"Boxyroom";"http://boxyroom.com/";"travel";"N/A";"N/A"
"BP Wiz";"http://www.bpwiz.biz";"N/A";"23rd Floor";"N/A"
"Bpfixier fix bike";"http://www.facebook.com/adeebstheunwantedhackers#!/profile.php?id=100002265962896";"health &amp; fitness";"Malaysia";"A website that provide u choice of bikes that you need and you want to!"
"BR Opportunities";"http://www.bropportunities.com.br/";"finance &amp; economics";"brazil";"Growth Capital Investments is a private equity fund manager that drives emerging, high-impact companies for the improvement of Brazil."
"BRAC";"http://www.brac.net/";"business &amp; innovation";"N/A";"N/A"
"Brain Genie";"http://braingenie.com/";"education";"N/A";"N/A"
"Brain Pirates";"http://www.brainpirates.de/";"marketing services";"N/A";"N/A"
